phase,dataset,method,budget,mean_relative_error,median_query_mean_error,p90_query_mean_error,se_query_cluster,median_latency_ms,p90_latency_ms,mean_actual_samples,mean_kernel_evaluations,mean_full_dimension_distances_or_dots,low_dim_score_evaluations,observations,queries
audit,cifar10,uniform_mc,128,0.22211339265072183,0.20588388784941952,0.33113087709088773,0.008285616480803067,0.4116035,0.4323451,128.0,128.0,128.0,0.0,1000,200
audit,cifar10,uniform_mc,256,0.15412188667064408,0.13475385861860234,0.24813648411967273,0.006336283069657409,0.7265945,0.761165,256.0,256.0,256.0,0.0,1000,200
audit,cifar10,uniform_mc,512,0.09803076089927862,0.08969022896454183,0.15506168688787042,0.003967008329037427,1.360399,1.4655513,512.0,512.0,512.0,0.0,1000,200
audit,cifar10_gist512,current_approx,32,0.32700184184040915,0.27438272869375546,0.4943240226116369,0.016954335992760652,1.12668,1.1821685,32.0,32.0,92.0,0.0,1000,200
audit,cifar10_gist512,current_approx,64,0.2270401270415083,0.20215888105378266,0.33994076909038906,0.009939281544279624,1.145715,1.1724811000000002,64.0,64.0,124.0,0.0,1000,200
audit,cifar10_gist512,current_approx,128,0.1486654746619528,0.13590261434314188,0.2324748734560342,0.005097282963663423,1.2614275,1.30018,128.0,128.0,188.0,0.0,1000,200
audit,cifar10_gist512,current_approx,256,0.11022298739505168,0.09387714283454868,0.1842939964304804,0.004172414112320711,1.3569345,1.3851759,256.0,256.0,316.0,0.0,1000,200
audit,cifar10_gist512,current_approx,512,0.06889214383887579,0.05856183740755484,0.10753544008508785,0.0028770896780265305,1.4608865,1.5247772,512.0,512.0,572.0,0.0,1000,200
audit,cifar10_gist512,deann,32,0.30353794981612675,0.29172732314846217,0.4566950113530617,0.008603833483899917,0.0690445,0.10861190000000001,32.0,32.206,369.121,0.0,1000,200
audit,cifar10_gist512,deann,64,0.197806262007849,0.18738395898366214,0.29719923953539656,0.005567862395390934,0.0735185,0.0848362,64.0,64.878,401.793,0.0,1000,200
audit,cifar10_gist512,deann,128,0.11796623037703115,0.1080844340344264,0.17681193752276633,0.0032428436749080297,0.085963,0.0992201,128.0,131.502,468.417,0.0,1000,200
audit,cifar10_gist512,deann,256,0.07464737899196312,0.06696519403881653,0.11759038049051294,0.002381279877638202,0.1132975,0.1279107,256.0,270.264,607.179,0.0,1000,200
audit,cifar10_gist512,deann,512,0.04470645383210307,0.03900061439612784,0.07148419227010079,0.0017532583766220607,0.190165,0.20612039999999998,511.885,570.425,907.34,0.0,1000,200
audit,cifar10_gist512,exact,0,0.0,0.0,0.0,0.0,0.3799345,0.3880635,1800.0,1800.0,1800.0,0.0,200,200
audit,cifar10_gist512,exact_annular,32,0.1503372479292873,0.13896402556075169,0.24452069587917413,0.004765260140043843,0.5639215,0.589587,32.0,32.0,1800.0,0.0,1000,200
audit,cifar10_gist512,exact_annular,64,0.11304748750519672,0.10697548363275275,0.17005911530315912,0.0038170411209935357,0.5591045,0.579538,64.0,64.0,1800.0,0.0,1000,200
audit,cifar10_gist512,exact_annular,128,0.08139537787288534,0.0722929949538405,0.12429025887909241,0.003706815054221478,0.5620735,0.5800955,128.0,128.0,1800.0,0.0,1000,200
audit,cifar10_gist512,exact_annular,256,0.055968882172980926,0.04915969213386466,0.08534556704349111,0.002486066771689653,0.566635,0.5867171,256.0,256.0,1800.0,0.0,1000,200
audit,cifar10_gist512,exact_annular,512,0.03656038837087911,0.03199563945956738,0.05680405759537028,0.001541760971719955,0.576696,0.5972884,512.0,512.0,1800.0,0.0,1000,200
audit,cifar10_gist512,final,32,0.2614144196478369,0.23268892982565498,0.42809947294299994,0.008743597391675812,0.3039855,0.3357664,32.0,32.0,96.0,1800.0,1000,200
audit,cifar10_gist512,final,64,0.16547090973948098,0.15728489208446375,0.2530926246727717,0.00505204136062293,0.3161345,0.32409709999999997,64.0,64.0,128.0,1800.0,1000,200
audit,cifar10_gist512,final,128,0.10876861351001386,0.09746303107019279,0.17120246816952547,0.003401480388613758,0.3764705,0.3885774,128.0,128.0,192.0,1800.0,1000,200
audit,cifar10_gist512,final,256,0.06460211183549858,0.06172157157721635,0.09587873470716585,0.002495232195862662,0.4732815,0.4826101,256.0,256.0,320.0,1800.0,1000,200
audit,cifar10_gist512,final,512,0.032407605989098295,0.029177329965773074,0.04949289508367838,0.0011076951890547962,0.629509,0.6483328,512.0,512.0,576.0,1800.0,1000,200
audit,cifar10_gist512,matched_neyman,32,0.4193217858445717,0.3862257157497454,0.6291996974114527,0.01473342923987115,0.568154,0.6141874,32.0,32.0,96.0,1800.0,1000,200
