phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
audit,isolet,64,final,matched_single,-0.06823586053064581,-0.08273556947466999,-0.052350744080555234,0.25844834524657356,0.20519978200774164,0.30377072258864557,200,1000,20260916
audit,isolet,64,final,matched_neyman,-0.009672758640823658,-0.022681882525193122,0.005099610884137477,0.047078968411532585,-0.025255545620553543,0.10632057313353752,200,1000,20260916
audit,isolet,128,final,current_approx,-0.16081172037480315,-0.1868453328406788,-0.1366679635021163,0.5797103085994362,0.53551147572245,0.6224223682564756,200,1000,20260916
audit,isolet,128,final,uniform_mc,-0.18984150630721672,-0.2268097952180984,-0.15653108126909382,0.6195266540840626,0.5681992529575571,0.6650851225925529,200,1000,20260916
audit,isolet,128,final,deann,0.0257000098718438,0.016234219233876843,0.035113203525790976,-0.2827644375325391,-0.40224052415229583,-0.16910411608500883,200,1000,20260916
audit,isolet,128,final,matched_single,-0.033545701813751785,-0.04174355358658125,-0.02543203387673313,0.22343822738363095,0.17604063446695387,0.2679670106552836,200,1000,20260916
audit,isolet,128,final,matched_neyman,0.011192738087193952,0.002873644791926427,0.018985349195879322,-0.10619731278671996,-0.18878905099951,-0.026139330765510935,200,1000,20260916
audit,isolet,256,final,current_approx,-0.1356283394739789,-0.15680285705639102,-0.11639221364723443,0.7054381289830671,0.6678817786636213,0.7403170502732982,200,1000,20260916
audit,isolet,256,final,uniform_mc,-0.1558881440326479,-0.177479081483841,-0.1355444418945151,0.7335189655608374,0.7010077565610462,0.7635101031540008,200,1000,20260916
audit,isolet,256,final,deann,0.010941059963986623,0.0069272560315049615,0.015428697525379176,-0.23945377494974052,-0.3573683506418427,-0.14367567625799152,200,1000,20260916
audit,isolet,256,final,matched_single,-0.015686756904743065,-0.02009671234296395,-0.011270854431370853,0.21690891480402474,0.16282921127262723,0.26626267669202897,200,1000,20260916
audit,isolet,256,final,matched_neyman,0.009805114395501574,0.0059027790104659375,0.013652464962298817,-0.20938711750995198,-0.2990120334360656,-0.1225521648452062,200,1000,20260916
audit,isolet,512,final,current_approx,-0.095001329585842,-0.1065604546193632,-0.08484789316649084,0.7953591189630761,0.7702503252250792,0.8189390497917517,200,1000,20260916
