dataset,phase,n,method,time_cap_ms,attained,budget,error
cifar10,test,1800,exact_annular,2.0,False,,
cifar10,test,1800,exact_annular,4.0,True,512.0,0.04404600097422495
cifar10,test,1800,official_E,0.125,False,,
cifar10,test,1800,official_E,0.25,False,,
cifar10,test,1800,official_E,0.5,False,,
cifar10,test,1800,official_E,1.0,False,,
cifar10,test,1800,official_E,2.0,True,256.0,0.04343674848422329
cifar10,test,1800,official_E,4.0,True,512.0,0.012996411642284846
cifar10,test,1800,official_O,0.125,False,,
cifar10,test,1800,official_O,0.25,False,,
cifar10,test,1800,official_O,0.5,True,32.0,0.37799271360760417
cifar10,test,1800,official_O,1.0,True,512.0,0.045100527317388686
cifar10,test,1800,official_O,2.0,True,512.0,0.045100527317388686
cifar10,test,1800,official_O,4.0,True,512.0,0.045100527317388686
cifar10,test,1800,official_T,0.125,False,,
cifar10,test,1800,official_T,0.25,True,64.0,0.2672848100914168
cifar10,test,1800,official_T,0.5,True,256.0,0.11556628129908536
cifar10,test,1800,official_T,1.0,True,512.0,0.07262779771077259
cifar10,test,1800,official_T,2.0,True,512.0,0.07262779771077259
cifar10,test,1800,official_T,4.0,True,512.0,0.07262779771077259
cifar10,test,1800,projected_current,0.125,False,,
cifar10,test,1800,projected_current,0.25,False,,
cifar10,test,1800,projected_current,0.5,True,32.0,0.2952369295637234
cifar10,test,1800,projected_current,1.0,True,128.0,0.11239368781111596
cifar10,test,1800,projected_current,2.0,True,512.0,0.0251756164878303
cifar10,test,1800,projected_current,4.0,True,512.0,0.0251756164878303
cifar10,test,1800,projected_fast,0.125,False,,
cifar10,test,1800,projected_fast,0.25,False,,
cifar10,test,1800,projected_fast,0.5,True,32.0,0.2913691235915201
cifar10,test,1800,projected_fast,1.0,True,128.0,0.10805062143655052
cifar10,test,1800,projected_fast,2.0,True,512.0,0.025870774875900827
cifar10,test,1800,projected_fast,4.0,True,512.0,0.025870774875900827
cifar10,test,1800,uniform_mc,0.125,False,,
cifar10,test,1800,uniform_mc,0.25,True,32.0,0.4215629192383016
cifar10,test,1800,uniform_mc,0.5,True,128.0,0.21989822126496336
cifar10,test,1800,uniform_mc,1.0,True,256.0,0.1528984581660567
cifar10,test,1800,uniform_mc,2.0,True,512.0,0.09964092633356365
cifar10,test,1800,uniform_mc,4.0,True,512.0,0.09964092633356365
cifar10_gist512,audit,1800,ann_E_multi,0.125,False,,
cifar10_gist512,audit,1800,ann_E_multi,0.25,False,,
cifar10_gist512,audit,1800,ann_E_multi,0.5,False,,
cifar10_gist512,audit,1800,ann_E_multi,1.0,True,512.0,0.017547051481490605
cifar10_gist512,audit,1800,ann_E_multi,2.0,True,512.0,0.017547051481490605
cifar10_gist512,audit,1800,ann_E_multi,4.0,True,512.0,0.017547051481490605
cifar10_gist512,audit,1800,ann_E_single,0.125,False,,
cifar10_gist512,audit,1800,ann_E_single,0.25,False,,
cifar10_gist512,audit,1800,ann_E_single,0.5,True,128.0,0.09877479006369998
cifar10_gist512,audit,1800,ann_E_single,1.0,True,512.0,0.023011892816058886
